Time elapsed was 113562979ns or 0.113562979s,113562979,0.113562979
Time elapsed was 108645398ns or 0.108645398s,108645398,0.108645398
Time elapsed was 108578375ns or 0.108578375s,108578375,0.108578375
Time elapsed was 108409403ns or 0.108409403s,108409403,0.108409403
Time elapsed was 108580885ns or 0.108580885s,108580885,0.108580885
Time elapsed was 108242029ns or 0.108242029s,108242029,0.108242029
Time elapsed was 108552717ns or 0.108552717s,108552717,0.108552717
Time elapsed was 109101996ns or 0.109101996s,109101996,0.109101996
Time elapsed was 108677788ns or 0.108677788s,108677788,0.108677788
Time elapsed was 108526311ns or 0.108526311s,108526311,0.108526311
Mean Time,109087788.1,0.1090877881
