Time elapsed was 104298ns or 0.000104298s,104298,0.000104298
Time elapsed was 164678ns or 0.000164678s,164678,0.000164678
Time elapsed was 419018ns or 0.000419018s,419018,0.000419018
Time elapsed was 346484ns or 0.000346484s,346484,0.000346484
Time elapsed was 497119ns or 0.000497119s,497119,0.000497119
Time elapsed was 263013ns or 0.000263013s,263013,0.000263013
Time elapsed was 232692ns or 0.000232692s,232692,0.000232692
Time elapsed was 314226ns or 0.000314226s,314226,0.000314226
Time elapsed was 285326ns or 0.000285326s,285326,0.000285326
Time elapsed was 264194ns or 0.000264194s,264194,0.000264194
Mean Time ,289104.8,0.0002891048
