Time elapsed was 623667674ns or 0.623667674s,623667674,0.623667674
Time elapsed was 619115271ns or 0.619115271s,619115271,0.619115271
Time elapsed was 630730453ns or 0.630730453s,630730453,0.630730453
Time elapsed was 646355649ns or 0.646355649s,646355649,0.646355649
Time elapsed was 620264994ns or 0.620264994s,620264994,0.620264994
Time elapsed was 641823387ns or 0.641823387s,641823387,0.641823387
Time elapsed was 687660215ns or 0.687660215s,687660215,0.687660215
Time elapsed was 653557346ns or 0.653557346s,653557346,0.653557346
Time elapsed was 631459529ns or 0.631459529s,631459529,0.631459529
Time elapsed was 623003089ns or 0.623003089s,623003089,0.623003089
   Mean Time,637763760.7,0.6377637607
