Time elapsed was 165761520ns or 0.165761520s,165761520,0.16576152
Time elapsed was 163649238ns or 0.163649238s,163649238,0.163649238
Time elapsed was 165500893ns or 0.165500893s,165500893,0.165500893
Time elapsed was 166801666ns or 0.166801666s,166801666,0.166801666
Time elapsed was 165798669ns or 0.165798669s,165798669,0.165798669
Time elapsed was 165456559ns or 0.165456559s,165456559,0.165456559
Time elapsed was 157348124ns or 0.157348124s,157348124,0.157348124
Time elapsed was 112084350ns or 0.112084350s,112084350,0.11208435
Time elapsed was 114085852ns or 0.114085852s,114085852,0.114085852
Time elapsed was 112214701ns or 0.112214701s,112214701,0.112214701
Mean Time,148870157.2,0.1488701572
