Time elapsed was 900789754ns or 0.900789754s,900789754,0.900789754
Time elapsed was 182838279ns or 0.182838279s,182838279,0.182838279
Time elapsed was 186390876ns or 0.186390876s,186390876,0.186390876
Time elapsed was 183779266ns or 0.183779266s,183779266,0.183779266
Time elapsed was 185117838ns or 0.185117838s,185117838,0.185117838
Time elapsed was 190783667ns or 0.190783667s,190783667,0.190783667
Time elapsed was 205555031ns or 0.205555031s,205555031,0.205555031
Time elapsed was 191411850ns or 0.191411850s,191411850,0.19141185
Time elapsed was 189279033ns or 0.189279033s,189279033,0.189279033
Time elapsed was 196698131ns or 0.196698131s,196698131,0.196698131
Mean Time,261264372.5,0.2612643725
