Time elapsed was 48179ns or 0.000048179s,48179,4.8179E-05
Time elapsed was 48609ns or 0.000048609s,48609,4.8609E-05
Time elapsed was 234971ns or 0.000234971s,234971,0.000234971
Time elapsed was 48626ns or 0.000048626s,48626,4.8626E-05
Time elapsed was 232239ns or 0.000232239s,232239,0.000232239
Time elapsed was 117925ns or 0.000117925s,117925,0.000117925
Time elapsed was 118263ns or 0.000118263s,118263,0.000118263
Time elapsed was 235944ns or 0.000235944s,235944,0.000235944
Time elapsed was 156860ns or 0.000156860s,156860,0.00015686
Time elapsed was 157822ns or 0.000157822s,157822,0.000157822
Mean Time,139943.8,0.0001399438
